barcode,product_name,brands,primary_brand,query_category,off_categories,primary_country,nova_group,nutriscore_grade,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,protein_100g,salt_100g,image_url,health_wash_score_v1,upf_markers_found,functional_claims_found,negative_claims_found,has_artificial_sweetener,ht_sugar_loophole,ht_protein_masks_fat,ht_fibre_distraction,ht_vegan_calorie_trap,tier,sampling_reason
928571,Organic lowfat yogurt strawberry smoothie,trader joes,trader joes,beverages,"Beverages, Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Fermented milk drinks, Yogurts, Drinkable yogurts",United States,4.0,E,73.4463276836158,1.12994350282486,0.564971751412429,12.9943502824859,12.9943502824859,3.38983050847458,0.120056497175141,https://images.openfoodfacts.org/images/products/000/000/092/8571/front_en.3.400.jpg,9.0,thickener|added_flavour,probiotic_claim|fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:trader joes
939812,Social Snackers,trader joe’s,trader joes,snacks,"snacks, salty-snacks, appetizers, da:crackers",United States,4.0,D,,,,,,,,https://images.openfoodfacts.org/images/products/000/000/093/9812/front_en.13.400.jpg,9.0,added_flavour|raising_agent,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:trader joes
7610700001417,Cough drops Honey & Lemon Echinacea,ricola,ricola,snacks,Candies,"Switzerland,United Kingdom",4.0,E,383.0,0.0,0.0,95.0,71.0,0.0,0.02,https://images.openfoodfacts.org/images/products/761/070/000/1417/front_en.32.400.jpg,18.0,added_flavour|glucose_syrup|acid_regulator,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:ricola
7610700018552,Honig Citroen Echinea,ricola,ricola,snacks,Snoep,Netherlands,4.0,E,,,,,,,,https://images.openfoodfacts.org/images/products/761/070/001/8552/front_nl.8.400.jpg,0.0,,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:ricola
7610700731765,SportMint dragées,ricola,ricola,snacks,"Snacks, Snacks sucrés, Confiseries, Dragées",Switzerland,4.0,D,378.0,2.0,1.3,87.6,67.7,0.1,0.0,https://images.openfoodfacts.org/images/products/761/070/073/1765/front_fr.15.400.jpg,21.0,glucose_syrup|refined_sugar|colour|acid_regulator,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:ricola
7610700922194,Melissa limoncella,ricola,ricola,snacks,"Snack, Snack dolci, Dolci, Caramelle",Italy,4.0,E,395.0,0.0,0.0,96.0,71.0,0.0,0.0,https://images.openfoodfacts.org/images/products/761/070/092/2194/front_it.4.400.jpg,3.0,colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:ricola
7610700945018,Ricola Alpen Salbei,ricola,ricola,snacks,"Imbiss, Süßer Snack, Süßwaren, Bonbons",Germany,4.0,E,388.0,0.0,0.0,97.0,72.0,0.0,0.0,https://images.openfoodfacts.org/images/products/761/070/094/5018/front_de.4.400.jpg,0.0,,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:ricola
7610700947753,Honig-Alpensalbei,ricola,ricola,snacks,"Imbiss, Süßer Snack, Süßwaren, Bonbons",Germany,4.0,E,395.0,0.0,0.0,97.0,73.0,0.0,0.0,https://images.openfoodfacts.org/images/products/761/070/094/7753/front_de.24.400.jpg,0.0,,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:ricola
7610827887079,Energy Drink,"coop prix garantie, prix garentie",coop prix garantie,beverages,"Boissons et préparations de boissons, Boissons, Boissons sans alcool, Boissons énergisantes, Boissons avec sucre ajouté","Germany,Switzerland",4.0,E,38.2409177820268,0.0,,9.4,9.4,0.0,0.0875,https://images.openfoodfacts.org/images/products/761/082/788/7079/front_en.32.400.jpg,12.0,added_flavour|refined_sugar|colour,fortification_claim|energy_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:coop prix garantie
7610827896163,Margarine,coop prix garantie,coop prix garantie,plant-based-foods,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines",Switzerland,4.0,D,708.0,80.0,24.0,0.0,,0.0,0.1,https://images.openfoodfacts.org/images/products/761/082/789/6163/front_fr.11.400.jpg,3.0,colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:coop prix garantie
7610848725251,Multi-Kids,coop prix garantie,coop prix garantie,beverages,"Boissons, Boissons sans alcool",Switzerland,4.0,E,38.0,0.0,0.0,9.4,9.4,0.0,0.0,https://images.openfoodfacts.org/images/products/761/084/872/5251/front_fr.14.400.jpg,9.0,glucose_syrup,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:coop prix garantie
7613331009272,Energy Drink Green Apple,coop prix garantie,coop prix garantie,beverages,"Boissons, Boissons énergisantes, Boissons avec sucre ajouté",Switzerland,4.0,E,44.0,0.0,0.0,11.0,11.0,0.0,0.2,https://images.openfoodfacts.org/images/products/761/333/100/9272/front_fr.8.400.jpg,9.0,refined_sugar|colour,fortification_claim|energy_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:coop prix garantie
7624841846332,Margarine,coop prix garantie,coop prix garantie,plant-based-foods,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines","Germany,Switzerland",4.0,D,720.0,80.0,24.0,0.0,0.0,0.0,0.1,https://images.openfoodfacts.org/images/products/762/484/184/6332/front_fr.3.400.jpg,3.0,colour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:coop prix garantie
7630017691125,Choco Peanuts,coop prix garantie,coop prix garantie,snacks,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat","France,Switzerland",4.0,E,502.0,26.0,9.8,57.0,55.0,8.3,0.38,https://images.openfoodfacts.org/images/products/763/001/769/1125/front_fr.9.400.jpg,12.0,glucose_syrup|colour,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:coop prix garantie
7613269294665,Oursons de gomme XL,gomz,gomz,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés, Ours gélifiés",Switzerland,4.0,E,338.0,0.5,0.0,77.0,62.0,6.0,0.01,https://images.openfoodfacts.org/images/products/761/326/929/4665/front_fr.9.400.jpg,3.0,acid_regulator,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:gomz
7613269294689,Gomz maxi mix,gomz,gomz,snacks,en:gummi-candies,Switzerland,4.0,E,338.0,0.5,0.0,77.0,62.0,6.0,0.059999998658895,https://images.openfoodfacts.org/images/products/761/326/929/4689/front_fr.11.400.jpg,12.0,glucose_syrup|acid_regulator,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:gomz
7613269294764,Langues acidulées,gomz,gomz,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés, Bonbons acidulés gélifiés, Bonbons acidulées, Bonbons acidulés, Langues acidulées",Switzerland,4.0,D,352.0,0.5,0.5,78.0,50.0,3.5,0.175,https://images.openfoodfacts.org/images/products/761/326/929/4764/front_fr.17.400.jpg,15.0,glucose_syrup|starch|acid_regulator,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:gomz
7613269294825,Bumm Bär,gomz,gomz,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons",Switzerland,4.0,E,338.0,0.5,0.0,77.0,62.0,6.0,0.01,https://images.openfoodfacts.org/images/products/761/326/929/4825/front_fr.16.400.jpg,12.0,glucose_syrup|acid_regulator,adaptogen_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:gomz
